Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Давимука;Алевтин;Володимирович;male;2008-04-30;Лікар;селище Авдіївка;набережна Промислова, буд. 7, Шостка, 26636;237 16 30;babaksviatoslav@example.org
Носенко;Леонід;Іванович;male;1988-03-10;Епідеміолог;хутір Шпола;парк Проектований 3-й, буд. 4 кв. 0, Кропивницький, 05273;261 31 36;mkhrystenko@example.net
Філіпенко;Леопольд;Романович;male;1950-11-20;Хореограф;місто Яготин;площа Лінія 55-та, буд. 68, Немирів, 17481;700-72-86;trokhymiaremko@example.net
Опанасенко;Франц;Степанович;male;1982-10-11;Лікар;хутір Андрушівка;шосе Уральський, буд. 549 кв. 9, Жашків, 08911;+380 (42) 867-91-99;zakhar33@example.org
Ткач;Тимофій;Васильович;male;2002-04-23;Прокурор;селище Дергачі;парк Моторний 1-й, буд. 279 кв. 469, Ланівці, 66779;003 942-03-97;marianaiarema@example.org
Атрощенко;Аарон;Анатолійович;male;1982-11-29;Випробувач;хутір Хуст;узвіз Курганська, буд. 65, Лубни, 86012;+380 65 512-15-86;holoborodkobohodar@example.net
Нестайко;Олена;Іллівна;female;1999-08-22;Інженер;село Рівне;шосе Горбиста, буд. 5 кв. 519, Чернігів, 07169;+380 16 415-37-22;odarka61@example.org
Ващенко-Захарченко;Георгій;Романович;male;1971-06-16;Гірник;місто Арциз;парк Дюківський сад, буд. 788 кв. 96, Енергодар, 31142;+380 53 877-92-78;leonid88@example.org
Бабиченко;Михайлина;Іванівна;female;1955-09-26;Археолог;село Берегове;узвіз Мічманський 2-й, буд. 409 кв. 370, Тиврів, 03557;952-02-97;iosypkarmaliuk@example.net
Франко;Дарина;Сергіївна;female;1948-12-01;Випробувач;місто Нова Одеса;вулиця Асташкіна, буд. 3 кв. 67, Татарбунари, 66279;+380 63 152 75 34;vadymnikoliuk@example.org
Чуприна;Любов;Миколаївна;female;1971-11-09;Ґрунтознавець;селище Кам'янець-Подільський;шосе Кісельова Ігоря, буд. 8 кв. 575, Токмак, 57263;+380 08 097-02-80;oryna57@example.com
Терещенко;Вадим;Юрійович;male;1972-05-25;Фотограф;місто Ічня;сквер Джерельна, буд. 6 кв. 47, Кременчук, 26074;064 566 00 47;qkarmaliuk@example.org
Гайдабура;Амалія;Андріївна;female;1973-06-05;Різноробочий;село Новий Калинів;провулок Водопровідний 2-й, буд. 07 кв. 9, Бобринець, 23281;739-56-60;olhasaienko@example.com
Чайка;Вікторія;Анатоліївна;female;1960-05-23;Філолог;селище Великі Мости;провулок Проїзний 1-й, буд. 03, Люботин, 18592;+380 00 200-95-36;ezhadan@example.net
Адаменко;Роман;Євгенович;male;1977-03-03;Музикознавець;місто Вознесенськ;вулиця Маразліївська, буд. 7, Хмельницький, 21159;526 87 70;bohdanna23@example.org
Шовкопляс;Мирослав;Сергійович;male;1973-05-19;Живописець;місто Амвросіївка;провулок Щіпний, буд. 5 кв. 9, Миколаїв, 45225;+380 67 595-96-60;olehpetliura@example.com
Жарко;Орина;Степанівна;female;1949-05-29;Археолог;селище Шпола;провулок Дерибасівська, буд. 950 кв. 8, Молодогвардійськ, 42727;+380 43 982 90 81;vasylenkodanylo@example.org
Романенко;Богдан;Олегович;male;1955-10-17;Детектив;місто Вільнянськ;узвіз Бородінська, буд. 75 кв. 4, Макіївка, 36557;+380 90 661 94 67;rsheremeta@example.net
Шутько;Марʼяна;Богданівна;female;2001-12-22;Режисер;селище Старий Самбір;площа Дорбуду, буд. 79, Добромиль, 53673;+380 (30) 612-59-83;rebrykhryhorii@example.org
Шинкаренко;Ірина;Степанівна;female;1995-08-30;Краєзнавець;селище Збараж;вулиця Чорноморський 2-й, буд. 909, Горохів, 34049;399 41 93;semenokhrymovych@example.com
Шило;Аніта;Олександрівна;female;1949-11-02;Золотар;місто Білицьке;шосе Вітчизняна, буд. 73 кв. 2, Білозерське, 28480;069 516-63-97;ielysaveta77@example.org
Вахній;Маруся;Богданівна;female;1943-10-12;Журналіст;село Попасна;узвіз Ширшова, буд. 61, Вільнянськ, 47130;+380 66 747-81-26;levkoaronets@example.org
Сич;Марʼяна;Романівна;female;1998-03-30;Пілот;хутір Бахмут;провулок Миколи Бажана, буд. 789, Калинівка , 11292;+380 85 703 17 88;zverhun@example.com
Конопленко;Владислав;Юрійович;male;1977-02-22;Кур'єр;місто Покров;узвіз Ковиловий, буд. 903 кв. 905, Боково-Хрустальне, 84931;+380 08 804-91-75;jvysochan@example.com
Дараган;Вʼячеслав;Анатолійович;male;1947-10-14;Педагог;село Фастів;провулок Віри Фігнер, буд. 04, Чуднів, 77156;+380 60 402-56-35;nparasiuk@example.net
Каденюк;Трохим;Степанович;male;1947-09-07;Стиліст;хутір Калуш;провулок 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 7, Васильків, 12975;113 90 50;fareniukemiliia@example.org
Овчаренко;Леонтій;Петрович;male;1999-10-12;Провізор;село Ківерці;парк Деревообробний 4-й, буд. 96, Біляївка, 95056;+380 (12) 969-91-97;htsiupa@example.net
Аронець;Лілія;Степанівна;female;1952-08-03;Архітектор;селище Благовіщенське;сквер Спортивний, буд. 295, Бобринець, 18716;+380 47 696-15-40;prokopovychspas@example.net
Кабалюк;Амалія;Степанівна;female;1949-09-21;Пекар;селище Монастириська;сквер Райдужна, буд. 048, Почаїв, 53323;+380 (82) 003-44-85;panteleimonsirko@example.net
Даньків;Любов;Олександрівна;female;1981-07-03;Реставратор;селище Могилів-Подільський;проспект Східний 1-й, буд. 4, Синельникове, 57789;616 61 52;ekanivets@example.org
Ємельяненко;Зорян;Ілліч;male;1964-12-11;Ді-джей;місто Мостиська;провулок Моторний 1-й, буд. 43 кв. 5, Старий Самбір, 30871;+380 23 295-94-90;ugzhytska@example.org
Шамрай;Маруся;Богданівна;female;1980-01-21;Архітектор;хутір Семенівка;шосе Садова 3-тя, буд. 5, Лутугине, 94019;+380 (69) 258-39-47;dakhnobohuslava@example.net
Гайда;Тарас;Андрійович;male;1956-08-20;Слідчий;село Любомль;парк Восьмого березня 1-й, буд. 945, Почаїв, 66322;968-83-75;zabaramartyn@example.org
Артимишин;Альбіна;Миколаївна;female;1963-10-21;Скульптор;селище Рахів;шосе Прохоровський, буд. 726 кв. 70, Гуляйполе, 40560;+380 65 382-65-94;mykhailynakaras@example.net
Ґерета;Мирослав;Романович;male;1964-07-10;Ботанік;місто Торецьк;узвіз Михайла Жванецького, буд. 83, Роздільна, 35402;+380 (96) 210-78-90;gprotsenko@example.org
Щербань;Лариса;Геннадіївна;female;1997-02-06;Електрик;селище Красногорівка;узвіз Лінія 43-тя, буд. 541, Федорівка, 78246;+380 (95) 327-68-88;ihorandriichuk@example.com
Демʼяненко;Олександр;Романович;male;1986-11-18;Геолог;селище Нетішин;провулок Яші Гордієнка, буд. 28, Батурин, 10469;+380 30 117-11-33;kiurchenko@example.org
Затовканюк;Дарина;Василівна;female;1948-05-07;Співак;село Сарни;сквер Ванцетті, буд. 00 кв. 4, Славутич, 30260;+380 (23) 954-00-64;vladyslav82@example.org
Гречаник;Андрій;Іванович;male;2005-05-19;Археолог;селище Балаклія;шосе Цегельнозаводська, буд. 4, Заставна, 42418;029 708-98-84;sirobabamykhailo@example.net
